experiment,repeat_id,sigma,a,direction,v_oracle,v_raw,v_iso,delta_v,treat_rate_oracle,treat_rate_raw,treat_rate_iso,raw_treated_true_positive_share,raw_treated_false_positive_share,iso_treated_true_positive_share,iso_treated_false_positive_share,mse_raw,mse_iso,cal_raw,cal_iso,t_theta,flip_rate,flip_count,beneficial_flip_rate,harmful_flip_rate,beneficial_flip_count,harmful_flip_count,beneficial_sign_share,harmful_sign_share,beneficial_value,harmful_value,mean_tau_flip_region,mean_abs_tau_flip_region,global_spearman,flip_region_spearman
sorting_additive_bias,1,0,-0.1,score_low_bias,0.964355713364063,0.961204694670285,0.963504884704476,0.0023001900341908,0.1594,0.004,0.2778,1,0,0.573794096472282,0.426205903527718,0.01,0.000982221158666625,0.0138112726456281,0.000694708678505532,-0.114304337762977,0.2738,1369,0.1554,0.1184,777,592,0.567567567567568,0.432432432432432,0.00315101869377803,-0.000850828659587207,0.00840098624613157,0.0146159508888431,1,1
sorting_additive_bias,1,0,0.1,score_high_bias,0.964355713364063,0.948585466807187,0.963504884704476,0.0149194178972883,0.1594,0.6058,0.2778,0.263123142951469,0.736876857048531,0.573794096472282,0.426205903527718,0.01,0.000982221158666625,0.00734022651298031,0.000694708678505532,0.0856956622370234,0.328,1640,0.328,0,1640,0,1,0,0.0149194178972884,0,-0.0454860301746597,0.0454860301746597,1,1
sorting_additive_bias,1,0.02,-0.1,score_low_bias,0.964355713364063,0.961190489726295,0.963441993264878,0.00225150353858294,0.1594,0.004,0.1636,1,0,0.699266503667482,0.300733496332518,0.0103539845472401,0.0013194648898922,0.0138757885073478,0.000726202754776279,-0.100648147252047,0.1596,798,0.1104,0.0492,552,246,0.691729323308271,0.308270676691729,0.00278316723279128,-0.000531663694208361,0.0141071650287151,0.0207696173370905,0.966060570866423,0.576674029299013
sorting_additive_bias,1,0.02,0.1,score_high_bias,0.964355713364063,0.948180695274379,0.963441993264878,0.0152612979904989,0.1594,0.6058,0.1636,0.263123142951469,0.736876857048531,0.699266503667482,0.300733496332518,0.0103539845472401,0.0013194648898922,0.00740474237470008,0.000726202754776279,0.0993518527479529,0.4422,2211,0.3972,0.045,1986,225,0.898236092265943,0.101763907734057,0.0156433543954757,-0.000382056404976864,-0.0345122071246016,0.0362401872466137,0.966060570866423,0.787079685520467
sorting_additive_bias,1,0.05,-0.1,score_low_bias,0.964355713364063,0.961052504930099,0.961240454340992,0.000187949410892951,0.1594,0.004,0.1978,0.95,0.05,0.483316481294237,0.516683518705763,0.0119270711747018,0.00398853040659689,0.0142877604300875,0.000790912781233789,-0.104585533952014,0.1938,969,0.0918,0.102,459,510,0.473684210526316,0.526315789473684,0.00234907877465961,-0.00216112936376664,0.000969811201718081,0.0232724878143769,0.881868630474745,0.291782173333991
sorting_additive_bias,1,0.05,0.1,score_high_bias,0.964355713364063,0.945878115622254,0.961240454340992,0.015362338718738,0.1594,0.6058,0.1978,0.262462859029383,0.737537140970617,0.483316481294237,0.516683518705763,0.0119270711747018,0.00398853040659689,0.00781671429743979,0.000790912781233789,0.0954144660479865,0.408,2040,0.3446,0.0634,1723,317,0.844607843137255,0.155392156862745,0.0163128177318531,-0.000950479013115048,-0.0376527909772991,0.0423120018259022,0.881868630474745,0.430118387893974
sorting_additive_bias,1,0.08,-0.1,score_low_bias,0.964355713364063,0.960938138915362,0.961368987655822,0.000430848740459844,0.1594,0.004,0.0406,0.85,0.15,0.566502463054187,0.433497536945813,0.0143771658451714,0.00499356372200085,0.0142847430944412,0.000936800196958076,-0.0702220454045478,0.0366,183,0.0196,0.017,98,85,0.53551912568306,0.46448087431694,0.000763196682105822,-0.000332347941646009,0.0117718235098309,0.0299329132172632,0.806281163899246,0.111356747315407
sorting_additive_bias,1,0.08,0.1,score_high_bias,0.964355713364063,0.94140132982306,0.961368987655822,0.0199676578327616,0.1594,0.6058,0.0406,0.254209310003301,0.745790689996699,0.566502463054187,0.433497536945813,0.0143771658451715,0.00499356372200085,0.00781369696179345,0.000936800196958076,0.129777954595452,0.5652,2826,0.4342,0.131,2171,655,0.768223637650389,0.231776362349611,0.0225497013516293,-0.00258204351886774,-0.0353284816573984,0.0444652244700939,0.806281163899246,0.411903556061723
sorting_additive_bias,1,0.12,-0.1,score_low_bias,0.964355713364063,0.960805184334186,0.960856849848875,5.16655146886036e-05,0.1594,0.004,0.0178,0.65,0.35,0.48314606741573,0.51685393258427,0.0185990703945834,0.00836645558258388,0.0151361091891531,0.000926007347504073,-0.0453600867466421,0.0138,69,0.006,0.0078,30,39,0.434782608695652,0.565217391304348,0.000255943308997758,-0.000204277794309165,0.00374387787598499,0.0333493553120958,0.701286576115463,0.084106686152722
sorting_additive_bias,1,0.12,0.1,score_high_bias,0.964355713364063,0.935667105003589,0.960856849848875,0.0251897448452862,0.1594,0.6058,0.0178,0.243974909210961,0.756025090789039,0.48314606741573,0.51685393258427,0.0185990703945834,0.00836645558258388,0.00866506305650538,0.000926007347504073,0.154639913253358,0.588,2940,0.4488,0.1392,2244,696,0.763265306122449,0.236734693877551,0.0282631269244984,-0.00307338207921224,-0.0428397021178337,0.0532933826593719,0.701286576115463,0.289929284960006
