sigma,a,direction,v_oracle,v_raw,v_iso,delta_v,treat_rate_oracle,treat_rate_raw,treat_rate_iso,raw_treated_true_positive_share,raw_treated_false_positive_share,iso_treated_true_positive_share,iso_treated_false_positive_share,mse_raw,mse_iso,cal_raw,cal_iso,t_theta,flip_rate,flip_count,beneficial_flip_rate,harmful_flip_rate,beneficial_flip_count,harmful_flip_count,beneficial_sign_share,harmful_sign_share,beneficial_value,harmful_value,mean_tau_flip_region,mean_abs_tau_flip_region,global_spearman,flip_region_spearman,n_reps
0,-0.1,score_low_bias,0.965262446222424,0.961994288571992,0.964696628678942,0.00270234010695053,0.159849333333333,0.00330533333333333,0.171020666666667,1,0,0.843073681820767,0.156926318179233,0.01,0.00152928114769657,0.0107187141477258,0.00109736106890441,-0.0989583720256174,0.167722,838.61,0.125682666666667,0.0420393333333333,628.413333333333,210.196666666667,0.837640413965227,0.162359586034773,0.00303625377853596,-0.000333913671585435,0.0233034839854125,0.0255293469180401,1,1,300
0,0.1,score_high_bias,0.965262446222424,0.949310409481958,0.964696628678942,0.0153862191969846,0.159849333333333,0.596918666666667,0.171020666666667,0.267790316100949,0.732209683899051,0.843073681820767,0.156926318179233,0.01,0.00152928114769657,0.0105713167766704,0.00109736106890441,0.101041627974383,0.425898,2129.49,0.395033333333333,0.0308646666666667,1975.16666666667,154.323333333333,0.940773010891612,0.0592269891083881,0.0156184812004113,-0.00023226200342673,-0.0377677924197378,0.0386307536784874,1,1,300
0.02,-0.1,score_low_bias,0.965262446222424,0.96196877536397,0.963927419015514,0.00195864365154447,0.159849333333333,0.00330533333333333,0.144410666666667,1,0,0.757333084235952,0.242666915764048,0.0103652571646069,0.00183048166739402,0.0107201442350001,0.00108146484006232,-0.0937837988312232,0.141121333333333,705.606666666667,0.0934126666666667,0.0477086666666667,467.063333333333,238.543333333333,0.748710137779253,0.251289862220747,0.00259179377030533,-0.000633150118760851,0.0220572933314243,0.0279981029031927,0.967983632874545,0.621868012075103,300
0.02,0.1,score_high_bias,0.965262446222424,0.948905472415291,0.963927419015514,0.0150219466002234,0.159849333333333,0.596918666666667,0.144410666666667,0.267790316100949,0.732209683899051,0.757333084235952,0.242666915764048,0.0103652571646069,0.00183048166739402,0.0105727468639447,0.00108146484006232,0.106216201168777,0.452508,2262.54,0.389368666666667,0.0631393333333333,1946.84333333333,315.696666666667,0.871640012213096,0.128359987786904,0.0157246092298244,-0.000702662629601004,-0.0345369711377661,0.0373142113575052,0.967983632874545,0.792261019012304,300
0.05,-0.1,score_low_bias,0.965262446222424,0.961839896294357,0.962326019479375,0.000486123185017573,0.159849333333333,0.00330533333333333,0.127111333333333,0.933709347804427,0.0662906521955727,0.599477318780044,0.400522681219956,0.0119342447836535,0.00307833548760966,0.0108406092150268,0.00110700144387134,-0.0839462347725364,0.123919333333333,619.596666666667,0.0628593333333333,0.06106,314.296666666667,305.3,0.574183170831129,0.425816829168871,0.00184048377254151,-0.00135436058752393,0.0126149761703692,0.0290737401220365,0.888170135011285,0.289102969382152,300
0.05,0.1,score_high_bias,0.965262446222424,0.946477313699436,0.962326019479375,0.0158487057799387,0.159849333333333,0.596918666666667,0.127111333333333,0.266223977470114,0.733776022529886,0.599477318780044,0.400522681219956,0.0119342447836535,0.00307833548760966,0.0106932118439714,0.00110700144387134,0.116053765227464,0.469807333333333,2349.03666666667,0.376783333333333,0.093024,1883.91666666667,465.12,0.809915862879793,0.190084137120207,0.0174242655394385,-0.00157555975949982,-0.0349263725385346,0.0412246743242762,0.888170135011285,0.47637884928586,300
0.08,-0.1,score_low_bias,0.965262446222424,0.961727614715118,0.961489894319697,-0.000237720395420631,0.159849333333333,0.00330533333333333,0.0962646666666667,0.759671269448643,0.240328730551357,0.535467987357966,0.464532012642034,0.0143354306551229,0.00529835010856719,0.0110358049546915,0.00107040772896751,-0.0760610367184326,0.093138,465.69,0.0414633333333333,0.0516746666666667,207.316666666667,258.373333333333,0.494207044523622,0.505792955476378,0.00123709440332777,-0.0014748147987484,0.00573981111511322,0.0304829066789485,0.810638904855636,0.160771973809051,300
0.08,0.1,score_high_bias,0.965262446222424,0.942552256267011,0.961489894319697,0.0189376380526862,0.159849333333333,0.596918666666667,0.0962646666666667,0.258287071260433,0.741712928739567,0.535467987357966,0.464532012642034,0.0143354306551229,0.00529835010856719,0.0108884075836361,0.00107040772896751,0.123938963281567,0.500654,2503.27,0.390361333333333,0.110292666666667,1951.80666666667,551.463333333333,0.784189213874052,0.215810786125948,0.0211536793995576,-0.00221604134687146,-0.0386310226470684,0.0471961697262481,0.810638904855636,0.357814733258671,300
0.12,-0.1,score_low_bias,0.965262446222424,0.961652298277509,0.961184197441198,-0.000468100836310736,0.159849333333333,0.00330533333333333,0.0566266666666667,0.577564659187534,0.422435340812467,0.473186200447609,0.526813799552391,0.0184616093629043,0.0087971097591481,0.0114717851732769,0.00104960908446335,-0.0526645962113033,0.0537026666666667,268.513333333333,0.0214813333333333,0.0322213333333333,107.406666666667,161.106666666667,0.438496973982371,0.561503026017629,0.000643127065480939,-0.00111122790179168,-0.00109571639023609,0.0322042479695013,0.717408601236824,0.0978001373556249,300
0.12,0.1,score_high_bias,0.965262446222424,0.936944709408511,0.961184197441198,0.0242394880326872,0.159849333333333,0.596918666666667,0.0566266666666667,0.245266994717713,0.754733005282287,0.473186200447609,0.526813799552391,0.0184616093629043,0.0087971097591481,0.0113243878022215,0.00104960908446335,0.147335403788697,0.540292,2701.46,0.417085333333333,0.123206666666667,2085.42666666667,616.033333333333,0.773585285526363,0.226414714473637,0.0269721422898328,-0.00273265425714563,-0.0452366473779222,0.0552327576995772,0.717408601236824,0.295283260913237,300
