sample_size,learner,bin_id,bin_lower,bin_upper,bin_mid,bin_n,beneficial_count,harmful_count,beneficial_rate,harmful_rate,total_flip_rate,beneficial_value,harmful_value,net_value,repeats,bin_by
5000,GLMnet,11,-0.197774661915355,-0.184039478268147,-0.190909761823728,100,0,0,0,0,0,0,0,0,300,raw
5000,GLMnet,16,-0.128922907323878,-0.115323136321063,-0.12211594561708,100,0,0,0,0,0,0,0,0,300,raw
5000,GLMnet,14,-0.156535658230005,-0.14272736547485,-0.149655965633991,100,0,0,0,0,0,0,0,0,300,raw
5000,GLMnet,3,-0.31888495948725,-0.299387264231811,-0.308776761991138,100,0,0,0,0,0,0,0,0,300,raw
5000,GLMnet,13,-0.170315272808653,-0.156535658230005,-0.163404058731889,100,0,0,0,0,0,0,0,0,300,raw
5000,GLMnet,4,-0.299387264231811,-0.283036462349818,-0.291051010338759,100,0,0,0,0,0,0,0,0,300,raw
5000,GLMnet,26,0.00877322898886906,0.0235517840818158,0.0160655791257788,100,45.1033333333333,22.4933333333333,0.453217752210857,0.226265035544441,0.679482787755298,0.863145157624856,-0.427594847940255,0.435550309684601,300,raw
5000,GLMnet,12,-0.184039478268147,-0.170315272808653,-0.177185930391927,100,0,0,0,0,0,0,0,0,300,raw
5000,GLMnet,23,-0.0329743283153629,-0.0191377828203771,-0.0260686026209564,100,1.95333333333333,5.95333333333333,0.0202259223226987,0.061550120064645,0.0817760423873437,0.0453609284545305,-0.190023407923888,-0.144662479469358,300,raw
5000,GLMnet,24,-0.0191377828203771,-0.00543375860313102,-0.0123006271038505,100,3.87666666666667,10.27,0.0392989854030117,0.104597179070011,0.143896164473022,0.0811723325878361,-0.278918527099576,-0.19774619451174,300,raw
5000,GLMnet,28,0.0395292907617647,0.0582837909986897,0.0486236609486396,100,27.1866666666667,15.5566666666667,0.278117697108276,0.159924871053284,0.438042568161559,0.406170290068771,-0.266492042208587,0.139678247860184,300,raw
5000,GLMnet,19,-0.0879987996502364,-0.0742906305992825,-0.0811466750275361,100,0.0766666666666667,0.436666666666667,0.000779689608636977,0.004444669365722,0.00522435897435897,0.0027273521004716,-0.0258821551016985,-0.0231548030012269,300,raw
5000,GLMnet,6,-0.267891849700731,-0.253516213995539,-0.260664547060742,100,0,0,0,0,0,0,0,0,300,raw
5000,GLMnet,25,-0.00543375860313102,0.00877322898886906,0.00169087117694176,100,34.8233333333333,19.9866666666667,0.348091770843954,0.199817268481185,0.547909039325138,0.740537635820727,-0.411181688146435,0.329355947674292,300,raw
5000,GLMnet,17,-0.115323136321063,-0.101494708491601,-0.108417154017184,100,0,0,0,0,0,0,0,0,300,raw
5000,GLMnet,27,0.0235517840818158,0.0395292907617647,0.0313660260124121,100,36.5333333333333,19.4633333333333,0.36582090854938,0.194527407121208,0.560348315670587,0.618206995285588,-0.353374480922404,0.264832514363185,300,raw
5000,GLMnet,18,-0.101494708491601,-0.0879987996502364,-0.0947487985896559,100,0,0.0166666666666667,0,0.000147492625368732,0.000147492625368732,0,-0.000964743843721847,-0.000964743843721847,300,raw
5000,GLMnet,29,0.0582837909986897,0.0829923234076529,0.0698009194978339,100,12.67,10.2,0.130083671666063,0.106169432641636,0.236253104307699,0.159428733605367,-0.167473749568538,-0.00804501596317153,300,raw
5000,GLMnet,15,-0.14272736547485,-0.128922907323878,-0.135837915858392,100,0,0,0,0,0,0,0,0,300,raw
5000,GLMnet,10,-0.211648075510133,-0.197774661915355,-0.20471843223141,100,0,0,0,0,0,0,0,0,300,raw
5000,GLMnet,8,-0.23941764831775,-0.225494102559244,-0.232460414579961,100,0,0,0,0,0,0,0,0,300,raw
5000,GLMnet,20,-0.0742906305992825,-0.0605229718119726,-0.0673878735793641,100,0.22,1.05333333333333,0.00229440050238894,0.0107012781030458,0.0129956786054347,0.0059255695514063,-0.0492047614084843,-0.043279191857078,300,raw
5000,GLMnet,30,0.0829923234076529,0.228320969199651,0.103938439124347,100,1.82666666666667,3.61,0.0183880433025695,0.037952015119977,0.0563400584225466,0.0188078780126349,-0.0649678520151978,-0.0461599740025629,300,raw
5000,GLMnet,9,-0.225494102559244,-0.211648075510133,-0.21855673603285,100,0,0,0,0,0,0,0,0,300,raw
5000,GLMnet,5,-0.283036462349818,-0.267891849700731,-0.275385551665745,100,0,0,0,0,0,0,0,0,300,raw
5000,GLMnet,2,-0.344723173785081,-0.31888495948725,-0.330744524774661,100,0,0,0,0,0,0,0,0,300,raw
5000,GLMnet,7,-0.253516213995539,-0.23941764831775,-0.24645218530863,100,0,0,0,0,0,0,0,0,300,raw
5000,GLMnet,21,-0.0605229718119726,-0.0467665008622543,-0.0536453082627698,100,0.473333333333333,1.81333333333333,0.00480446072107787,0.0183894468888786,0.0231939076099565,0.0133387830421127,-0.0745482807695111,-0.0612094977273985,300,raw
5000,GLMnet,22,-0.0467665008622543,-0.0329743283153629,-0.0398743180782742,100,1.14333333333333,4.22333333333333,0.0113601227516869,0.0420317909401464,0.0533919136918333,0.0279833451200301,-0.151675870178768,-0.123692525058737,300,raw
5000,GLMnet,1,-0.486539454772811,-0.344723173785081,-0.365758496023453,102.739726027397,0,0,0,0,0,0,0,0,292,raw
5000,GBRT 8,18,-0.0431750987725293,-0.0355633793339845,-0.0393078214557151,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,3,-0.485556806999891,-0.41369207211062,-0.448198793055885,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,2,-0.584610369729432,-0.485556806999891,-0.531515190167754,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,16,-0.0617334671025595,-0.0518036971163967,-0.0566720695864716,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,14,-0.086665563264198,-0.0731737666481061,-0.0796998242003619,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,5,-0.355521796105961,-0.305975516460108,-0.330206324336718,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,25,0.00147005078158846,0.00772948990386847,0.00456282198428598,100,55.7633333333333,33.4933333333333,0.560154231123646,0.338196926228527,0.898351157352173,1.5677267339953,-0.57500438873499,0.992722345260309,300,raw
5000,GBRT 8,26,0.00772948990386847,0.0145453085093065,0.0110717060596064,100,44.5066666666667,36.5933333333333,0.446570655881569,0.371213743001,0.817784398882569,1.20948496559823,-0.659897721295496,0.549587244302737,300,raw
5000,GBRT 8,13,-0.102347848324417,-0.086665563264198,-0.0943065456164267,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,21,-0.0222327695586877,-0.0162118800072584,-0.0192121886044501,100,0.116666666666667,0.65,0.00104939199851481,0.00556489371577091,0.00661428571428572,0.00290488325642696,-0.0241021152837501,-0.0211972320273231,300,raw
5000,GBRT 8,7,-0.263195966677537,-0.226060509611671,-0.244127692932769,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,30,0.0536183330917841,1.14841647590494,0.103722024946731,100,17.1733333333333,19.8966666666667,0.204071156762624,0.22440384777405,0.428475004536673,1.47273194346423,-0.736051386967278,0.736680556496952,300,raw
5000,GBRT 8,15,-0.0731737666481061,-0.0617334671025595,-0.0673089031908926,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,28,0.0225836216000559,0.0335772307101685,0.0277172698994991,100,26.8066666666667,37.8666666666667,0.28103979247999,0.397644697970368,0.678684490450358,0.846163023242952,-0.896655813999795,-0.0504927907568428,300,raw
5000,GBRT 8,12,-0.120582033625198,-0.102347848324417,-0.111237895706002,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,29,0.0335772307101685,0.0536183330917841,0.0420829789307296,100,19.11,32.5766666666667,0.212730291727121,0.354237143094231,0.566967434821352,0.762195553078896,-0.972066220895844,-0.209870667816947,300,raw
5000,GBRT 8,27,0.0145453085093065,0.0225836216000559,0.0184116764738317,100,35.4633333333333,38.3966666666667,0.360553454107825,0.391421535993674,0.7519749901015,0.996460498365096,-0.791095041910748,0.205365456454349,300,raw
5000,GBRT 8,4,-0.41369207211062,-0.355521796105961,-0.383629328673661,100,0,0,0,0,0,0,0,0,300,raw
