sample_size,learner,calibration_method,estimator,metric,value,sd,mc_se,repeats
1000,GLMnet,Causal Isotonic,Raw DR Learner,MSE,0.011895224785992,0.0013774201383165,7.95253887644242e-05,300
1000,GLMnet,Causal Isotonic,Causal Isotonic,MSE,0.0120816873356953,0.00214117644432346,0.000123620879651264,300
1000,GLMnet,Causal Isotonic,Raw DR Learner,CAL,0.00305956594400765,0.0010357333491726,5.97980927953476e-05,300
1000,GLMnet,Causal Isotonic,Causal Isotonic,CAL,0.00238589505237488,0.00172867943861583,9.98053539227418e-05,300
1000,GBRT 8,Causal Isotonic,Raw DR Learner,MSE,0.0296126302699688,0.00649654361713153,0.000375078120615303,300
1000,GBRT 8,Causal Isotonic,Causal Isotonic,MSE,0.0186709764541729,0.00659430628602098,0.000380722450935306,300
1000,GBRT 8,Causal Isotonic,Raw DR Learner,CAL,0.0158957147063002,0.00517520116145029,0.000298790378367379,300
1000,GBRT 8,Causal Isotonic,Causal Isotonic,CAL,0.00415385212490676,0.00606462019677692,0.0003501410103142,300
1000,RF,Causal Isotonic,Raw DR Learner,MSE,0.022093346022821,0.00579173201814771,0.000334385803975175,300
1000,RF,Causal Isotonic,Causal Isotonic,MSE,0.0174828489023678,0.00976124356294379,0.00056356565986911,300
1000,RF,Causal Isotonic,Raw DR Learner,CAL,0.00979217894386449,0.00513376725494991,0.000296398190660221,300
1000,RF,Causal Isotonic,Causal Isotonic,CAL,0.00441153398167609,0.00955506341005541,0.000551661843191943,300
2000,GLMnet,Causal Isotonic,Raw DR Learner,MSE,0.0111122488752508,0.000667537253613916,3.85402813068098e-05,300
2000,GLMnet,Causal Isotonic,Causal Isotonic,MSE,0.0101134819391141,0.00114259078192496,6.59675095517961e-05,300
2000,GLMnet,Causal Isotonic,Raw DR Learner,CAL,0.00288475244476368,0.000482042032268415,2.78307097090884e-05,300
2000,GLMnet,Causal Isotonic,Causal Isotonic,CAL,0.00139174536441734,0.000840510687035822,4.85269071416889e-05,300
2000,GBRT 8,Causal Isotonic,Raw DR Learner,MSE,0.0190340544725069,0.00281477221319892,0.000162510949499787,300
2000,GBRT 8,Causal Isotonic,Causal Isotonic,MSE,0.0135746698482951,0.00313167169856198,0.000180807149817829,300
2000,GBRT 8,Causal Isotonic,Raw DR Learner,CAL,0.00835209546961825,0.00214942844667441,0.000124097309229131,300
2000,GBRT 8,Causal Isotonic,Causal Isotonic,CAL,0.00232695899913202,0.00281486013628073,0.000162516025741283,300
2000,RF,Causal Isotonic,Raw DR Learner,MSE,0.0191315345048892,0.00292871164422164,0.000169089245617016,300
2000,RF,Causal Isotonic,Causal Isotonic,MSE,0.0138131089614255,0.00325634522902529,0.00018800517945521,300
2000,RF,Causal Isotonic,Raw DR Learner,CAL,0.0080727393007299,0.00236533202225782,0.000136562507977339,300
2000,RF,Causal Isotonic,Causal Isotonic,CAL,0.00226062899034631,0.00272334862556653,0.000157232606206804,300
5000,GLMnet,Causal Isotonic,Raw DR Learner,MSE,0.010636687772967,0.000391786776553515,2.26198200908108e-05,300
5000,GLMnet,Causal Isotonic,Causal Isotonic,MSE,0.00883825084741776,0.000606734600474817,3.50298384910796e-05,300
5000,GLMnet,Causal Isotonic,Raw DR Learner,CAL,0.00284044118245929,0.000257876945684307,1.48885324008633e-05,300
5000,GLMnet,Causal Isotonic,Causal Isotonic,CAL,0.000767723866233949,0.000418245830243858,2.4147434267873e-05,300
5000,GBRT 8,Causal Isotonic,Raw DR Learner,MSE,0.00938260504307163,0.00138994408565052,8.02484592008858e-05,300
5000,GBRT 8,Causal Isotonic,Causal Isotonic,MSE,0.00803178559002252,0.00180012707411168,0.000103930385081391,300
5000,GBRT 8,Causal Isotonic,Raw DR Learner,CAL,0.00278375881754353,0.000889405056173285,5.1349824860026e-05,300
5000,GBRT 8,Causal Isotonic,Causal Isotonic,CAL,0.00111416295241452,0.00143578859995595,8.28952934683964e-05,300
5000,RF,Causal Isotonic,Raw DR Learner,MSE,0.0161585516906028,0.00167846757890394,9.69063708506252e-05,300
5000,RF,Causal Isotonic,Causal Isotonic,MSE,0.0113097185310949,0.0016494085338811,9.52286461039919e-05,300
5000,RF,Causal Isotonic,Raw DR Learner,CAL,0.00624298913331222,0.00129745286686136,7.49084761943256e-05,300
5000,RF,Causal Isotonic,Causal Isotonic,CAL,0.00110388388771327,0.0012475332305195,7.20263646463435e-05,300
