sample_size,learner,calibration_method,policy,threshold,total_policy_value,incremental_policy_value,regret_to_oracle,treat_rate,oracle_agreement,total_policy_value_sd,repeats
1000,GLMnet,Causal Isotonic,Oracle true CATE,0,0.965207992791739,0.00365720999803577,0,0.159727777777778,1,0.00103462927459342,300
1000,GLMnet,Causal Isotonic,Raw DR Learner,0,0.961257268256643,-0.000293514537059825,0.00395072453509559,0.169435555555556,0.815474444444444,0.00110265416800835,300
1000,GLMnet,Causal Isotonic,Causal Isotonic,0,0.960375427239625,-0.00117535555407762,0.00483256555211339,0.172638888888889,0.801588888888889,0.00276391200920821,300
1000,GBRT 8,Causal Isotonic,Oracle true CATE,0,0.965207992791739,0.00365720999803577,0,0.159727777777778,1,0.00103462927459342,300
1000,GBRT 8,Causal Isotonic,Raw DR Learner,0,0.948488442008009,-0.0130623407856942,0.0167195507837299,0.303617777777778,0.724383333333333,0.00413157727538646,300
1000,GBRT 8,Causal Isotonic,Causal Isotonic,0,0.959470307345378,-0.00208047544832454,0.00573768544636032,0.0349977777777778,0.826527777777778,0.00418340761413129,300
1000,RF,Causal Isotonic,Oracle true CATE,0,0.965207992791739,0.00365720999803577,0,0.159727777777778,1,0.00103462927459342,300
1000,RF,Causal Isotonic,Raw DR Learner,0,0.953094359792215,-0.00845642300148795,0.0121136329995237,0.223556666666667,0.762815555555556,0.00328036098831696,300
1000,RF,Causal Isotonic,Causal Isotonic,0,0.959659369652321,-0.0018914131413816,0.00554862313941737,0.0423277777777778,0.826175555555556,0.00338885267378481,300
2000,GLMnet,Causal Isotonic,Oracle true CATE,0,0.96540499890833,0.00363956023966746,0,0.159636666666667,1,0.000938494367253366,300
2000,GLMnet,Causal Isotonic,Raw DR Learner,0,0.96148486155522,-0.000280577113443108,0.00392013735311057,0.177998888888889,0.814706666666667,0.00100989811782895,300
2000,GLMnet,Causal Isotonic,Causal Isotonic,0,0.961019803121006,-0.000745635547657094,0.00438519578732456,0.150292222222222,0.81312,0.00220047831335856,300
2000,GBRT 8,Causal Isotonic,Oracle true CATE,0,0.96540499890833,0.00363956023966746,0,0.159636666666667,1,0.000938494367253366,300
2000,GBRT 8,Causal Isotonic,Raw DR Learner,0,0.954817518387448,-0.0069479202812148,0.0105874805208823,0.261387777777778,0.77756,0.00237720350731383,300
2000,GBRT 8,Causal Isotonic,Causal Isotonic,0,0.96061138822007,-0.00115405044859283,0.00479361068826029,0.0348011111111111,0.833457777777778,0.00214298294765335,300
2000,RF,Causal Isotonic,Oracle true CATE,0,0.96540499890833,0.00363956023966746,0,0.159636666666667,1,0.000938494367253366,300
2000,RF,Causal Isotonic,Raw DR Learner,0,0.954951909781871,-0.00681352888679162,0.0104530891264591,0.223696666666667,0.774531111111111,0.00237792446824858,300
2000,RF,Causal Isotonic,Causal Isotonic,0,0.960652349686477,-0.00111308898218541,0.00475264922185287,0.0299188888888889,0.832897777777778,0.00213318037046795,300
5000,GLMnet,Causal Isotonic,Oracle true CATE,0,0.965288045087416,0.00365418117123602,0,0.160161111111111,1,0.000943597693836322,300
5000,GLMnet,Causal Isotonic,Raw DR Learner,0,0.961314928603867,-0.000318935312313613,0.00397311648354963,0.187328888888889,0.811852222222222,0.000977654652686146,300
5000,GLMnet,Causal Isotonic,Causal Isotonic,0,0.961488429468582,-0.000145434447597858,0.00379961561883387,0.119583333333333,0.828788888888889,0.00131435431482508,300
5000,GBRT 8,Causal Isotonic,Oracle true CATE,0,0.965288045087416,0.00365418117123602,0,0.160161111111111,1,0.000943597693836322,300
5000,GBRT 8,Causal Isotonic,Raw DR Learner,0,0.96046110881418,-0.0011727551020006,0.00482693627323662,0.20822,0.845303333333333,0.00135958219665551,300
5000,GBRT 8,Causal Isotonic,Causal Isotonic,0,0.961217650828075,-0.000416213088105778,0.00407039425934179,0.0722077777777778,0.845548888888889,0.00135214036021572,300
5000,RF,Causal Isotonic,Oracle true CATE,0,0.965288045087416,0.00365418117123602,0,0.160161111111111,1,0.000943597693836322,300
5000,RF,Causal Isotonic,Raw DR Learner,0,0.956337644856372,-0.00529621905980822,0.00895040023104423,0.229214444444444,0.786424444444445,0.00163211150276473,300
5000,RF,Causal Isotonic,Causal Isotonic,0,0.961118009408217,-0.000515854507963107,0.00417003567919912,0.0160166666666667,0.837486666666667,0.00139747698796514,300
