sample_size,learner,calibration_method,threshold_direction,theta_0,t_theta,flip_region_size,flip_region_mean_tau0,DeltaV,TreatRate_raw,TreatRate_iso
1000,GLMnet,Causal Isotonic,conservative,-0.0155383929336641,,0.0903506493506493,-0.00471134766428288,0.000359257446781798,0.158541125541126,0.0681904761904762
1000,GBRT 8,Causal Isotonic,conservative,-0.050699538318084,,0.274832768361582,-0.0408808018378194,0.0112693867590924,0.303074576271186,0.0282418079096045
1000,RF,Causal Isotonic,conservative,-0.0380156233733523,,0.196573616018846,-0.0357730199307986,0.00709869680038421,0.221978798586572,0.0254051825677267
2000,GLMnet,Causal Isotonic,conservative,-0.0139371433028971,,0.0987251773049645,-0.00529456992697711,0.000395361766491587,0.170576241134752,0.0718510638297872
2000,GBRT 8,Causal Isotonic,conservative,-0.0362375249923423,,0.232215419501134,-0.0255884168896212,0.00594894570879007,0.260511337868481,0.0282959183673469
2000,RF,Causal Isotonic,conservative,-0.0332795595706117,,0.199351473922903,-0.0287750450592293,0.00586982552971819,0.223054421768707,0.023702947845805
5000,GLMnet,Causal Isotonic,conservative,-0.0119350773144176,0.0530110524848715,0.102151898734177,-0.00574703785837528,0.000502031093748032,0.184980309423347,0.0828284106891702
5000,GBRT 8,Causal Isotonic,conservative,-0.0181172435290568,,0.152285024154589,-0.00696665410020359,0.000919460495383269,0.206208937198068,0.0539239130434783
5000,RF,Causal Isotonic,conservative,-0.0280662307266308,,0.213931995540691,-0.0223725302827262,0.00479688780484883,0.22917502787068,0.0152430323299889
1000,GLMnet,Causal Isotonic,aggressive,0.0130463189175708,-0.0408552475090632,0.102586206896552,-0.0164734950006547,-0.0022060548407568,0.181124137931034,0.283710344827586
2000,GLMnet,Causal Isotonic,aggressive,0.00886883228619342,-0.0389859320162782,0.0915029761904762,-0.0155200879427062,-0.00190933519968405,0.190458333333333,0.28196130952381
2000,GBRT 8,Causal Isotonic,neutral,0.015234194137679,0,0.00133333333333333,-0.0229409796133243,-3.05879728177657e-05,0.318,0.319333333333333
2000,RF,Causal Isotonic,aggressive,0.00642660441830071,-0.0139703125249503,0.0793333333333333,-0.0288056060712243,-0.00259945572588077,0.255166666666667,0.3345
1000,RF,Causal Isotonic,aggressive,0.00994241151221832,-0.0103142446120719,0.0742156862745098,-0.0272560400712225,-0.00231930802804866,0.249823529411765,0.324039215686275
5000,GLMnet,Causal Isotonic,aggressive,0.00469300558649507,-0.0264310331829479,0.0626827956989247,-0.0139663306351204,-0.00107953402908963,0.196220430107527,0.258903225806452
1000,GBRT 8,Causal Isotonic,aggressive,0.00817062939390626,-0.0312834844162837,0.0979333333333333,-0.0551837223692895,-0.00598189854427445,0.335666666666667,0.4336
5000,GBRT 8,Causal Isotonic,aggressive,0.00489072543862208,-0.00841606880480927,0.051125,-0.0203493678799359,-0.00111702052322228,0.231347222222222,0.282472222222222
1000,GLMnet,Causal Isotonic,neutral,0.0456116609685114,0,0,,0,0.152333333333333,0.152333333333333
2000,GBRT 8,Causal Isotonic,aggressive,0.00522740036378261,-0.0156007759898023,0.0588,-0.0366632293846657,-0.00215970012497443,0.3016,0.3604
5000,GLMnet,Causal Isotonic,neutral,0.00991997813668325,0,0,,0,0.192666666666667,0.192666666666667
5000,RF,Causal Isotonic,aggressive,0.00282935623907665,-0.00130644301289478,0.00633333333333333,-0.0252770678313947,-0.0001600880962655,0.241,0.247333333333333
